
                                                    
         »—’ќƒЌџ… ѕ–ќ‘»Ћ№ ƒќ–ќ∆ »  ј„≈Ќ»я           
                                                    
 -------------------------------------------------- 
 | є отсчета  | ”гол в градусах   |  –адиус в мм  | 
 -------------------------------------------------- 
 |       0    |       0.000       |   13.00000000 |
 |       1    |       1.406       |   12.99190000 |
 |       2    |       2.813       |   12.96750000 |
 |       3    |       4.219       |   12.92710000 |
 |       4    |       5.625       |   12.87080000 |
 |       5    |       7.031       |   12.79900000 |
 |       6    |       8.438       |   12.71200000 |
 |       7    |       9.844       |   12.61030000 |
 |       8    |      11.250       |   12.49440000 |
 |       9    |      12.656       |   12.36500000 |
 |      10    |      14.063       |   12.22280000 |
 |      11    |      15.469       |   12.06860000 |
 |      12    |      16.875       |   11.90320000 |
 |      13    |      18.281       |   11.72740000 |
 |      14    |      19.688       |   11.54230000 |
 |      15    |      21.094       |   11.34880000 |
 |      16    |      22.500       |   11.14800000 |
 |      17    |      23.906       |   10.94100000 |
 |      18    |      25.313       |   10.72890000 |
 |      19    |      26.719       |   10.51290000 |
 |      20    |      28.125       |   10.29400000 |
 |      21    |      29.531       |   10.07360000 |
 |      22    |      30.938       |    9.85280000 |
 |      23    |      32.344       |    9.63280000 |
 |      24    |      33.750       |    9.41470000 |
 |      25    |      35.156       |    9.19980000 |
 |      26    |      36.563       |    8.98930000 |
 |      27    |      37.969       |    8.78430000 |
 |      28    |      39.375       |    8.58580000 |
 |      29    |      40.781       |    8.39500000 |
 |      30    |      42.188       |    8.21290000 |
 |      31    |      43.594       |    8.04050000 |
 |      32    |      45.000       |    7.87870000 |
 |      33    |      46.406       |    7.72840000 |
 |      34    |      47.813       |    7.59040000 |
 |      35    |      49.219       |    7.46540000 |
 |      36    |      50.625       |    7.35420000 |
 |      37    |      52.031       |    7.25740000 |
 |      38    |      53.438       |    7.17540000 |
 |      39    |      54.844       |    7.10870000 |
 |      40    |      56.250       |    7.05760000 |
 |      41    |      57.656       |    7.02260000 |
 |      42    |      59.063       |    7.00360000 |
 |      43    |      60.469       |    7.00090000 |
 |      44    |      61.875       |    7.01440000 |
 |      45    |      63.281       |    7.04420000 |
 |      46    |      64.688       |    7.08990000 |
 |      47    |      66.094       |    7.15140000 |
 |      48    |      67.500       |    7.22840000 |
 |      49    |      68.906       |    7.32030000 |
 |      50    |      70.313       |    7.42680000 |
 |      51    |      71.719       |    7.54730000 |
 |      52    |      73.125       |    7.68100000 |
 |      53    |      74.531       |    7.82730000 |
 |      54    |      75.938       |    7.98530000 |
